epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,510.217,1.72588,2.36145,1.8389,0.00384,0.22044,0.00246,0.00104,3.25895,inf,8.13905,0.000664894,0.000664894,0.000664894
2,1031.55,1.89505,2.46652,1.97598,0.26915,0.28725,0.20652,0.0979,1.74534,2.51054,1.85231,0.00131838,0.00131838,0.00131838
3,1547.97,1.81425,2.37617,1.88469,0.29053,0.3176,0.21196,0.0998,1.69261,2.76475,1.79706,0.00195866,0.00195866,0.00195866
4,2061.11,1.72771,2.2968,1.80563,0.34787,0.39963,0.29847,0.15981,1.51371,2.26079,1.61869,0.0019406,0.0019406,0.0019406
5,2576.73,1.66283,2.21608,1.7641,0.38675,0.43729,0.35187,0.19011,1.47566,2.18041,1.58739,0.0019208,0.0019208,0.0019208
6,3095.3,1.608,2.10784,1.7161,0.42955,0.40651,0.34874,0.1897,1.42477,2.07034,1.58182,0.001901,0.001901,0.001901
7,3610.39,1.56037,2.05072,1.67889,0.43336,0.4504,0.38867,0.22039,1.40928,2.10396,1.55814,0.0018812,0.0018812,0.0018812
8,4125.04,1.51897,1.98802,1.64682,0.44029,0.45921,0.41939,0.24721,1.33673,1.90651,1.51107,0.0018614,0.0018614,0.0018614
9,4642.12,1.50738,1.94032,1.637,0.44188,0.44913,0.4109,0.22624,1.40126,2.00167,1.56036,0.0018416,0.0018416,0.0018416
10,5150.52,1.47685,1.89692,1.62817,0.5104,0.48396,0.4675,0.27478,1.31474,1.87473,1.47927,0.0018218,0.0018218,0.0018218
11,5666.1,1.46892,1.85992,1.61995,0.44826,0.50458,0.44385,0.26161,1.34321,1.83171,1.53844,0.001802,0.001802,0.001802
12,6174.14,1.45495,1.83989,1.60243,0.51689,0.47113,0.46752,0.28068,1.314,1.79437,1.50103,0.0017822,0.0017822,0.0017822
13,6689.32,1.40225,1.78157,1.56316,0.52222,0.51095,0.49354,0.29799,1.28658,1.70409,1.49145,0.0017624,0.0017624,0.0017624
14,7202.85,1.40252,1.75905,1.57202,0.51076,0.50779,0.47822,0.28769,1.29987,1.76193,1.50884,0.0017426,0.0017426,0.0017426
15,7711.35,1.37939,1.71856,1.54924,0.54388,0.50687,0.50942,0.31862,1.24858,1.60242,1.44833,0.0017228,0.0017228,0.0017228
16,8229.04,1.36503,1.70165,1.54036,0.56179,0.51527,0.52782,0.32481,1.23199,1.6039,1.44292,0.001703,0.001703,0.001703
17,8744.49,1.35096,1.66303,1.53116,0.56374,0.5165,0.52098,0.32415,1.25922,1.578,1.44904,0.0016832,0.0016832,0.0016832
18,9252.23,1.35771,1.65041,1.53221,0.58501,0.54076,0.56611,0.34059,1.26315,1.51087,1.44818,0.0016634,0.0016634,0.0016634
19,9767.46,1.32876,1.59883,1.51065,0.60019,0.51742,0.57163,0.35911,1.20871,1.48754,1.409,0.0016436,0.0016436,0.0016436
